line_no,endpoint,label,raw_expected_country,expected_country,raw_actual_country,actual_country,actual_country_alias_applied,input_consistent,input_comparable,verification_policy,verification_decision,youtube_country_raw,ping0_country_raw,youtube_country,ping0_country,status,error,raw_exit_region,exit_region,exit_ip,cf_colo,geo_selected_provider,geo_fallback_used,geo_evidence,selected_in_output,raw_line
1,104.18.9.158:2053,越南,VN,HK,VN,UNKNOWN,True,False,True,youtube_ping0_ping0_mismatch_v1,provider_unknown,VN,,HK,UNKNOWN,geo_only,,越南,未知,,,,,youtube:VN;ping0:-,False,104.18.9.158:2053#越南-1
2,104.19.206.28:2053,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.19.206.28:2053#越南-2
3,104.18.8.17:8443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.18.8.17:8443#越南-3
4,162.159.137.116:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,162.159.137.116:443#越南-4
5,104.20.2.235:8443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.20.2.235:8443#越南-5
6,104.19.169.46:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.19.169.46:443#越南-6
7,162.159.128.16:2053,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,162.159.128.16:2053#越南-7
8,162.159.154.49:2087,越南,VN,HK,VN,UNKNOWN,True,False,True,youtube_ping0_ping0_mismatch_v1,provider_unknown,VN,,HK,UNKNOWN,geo_only,,越南,未知,,,,,youtube:VN;ping0:-,False,162.159.154.49:2087#越南-8
9,172.67.120.133:2083,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,172.67.120.133:2083#越南-9
10,104.19.221.31:8443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.19.221.31:8443#越南-10
11,104.26.1.128:2096,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.26.1.128:2096#越南-11
12,162.159.129.191:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,162.159.129.191:443#越南-12
13,162.159.148.249:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,162.159.148.249:443#越南-13
14,104.18.5.176:2083,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.18.5.176:2083#越南-14
15,104.16.164.190:2083,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.16.164.190:2083#越南-15
16,104.16.233.5:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.16.233.5:443#越南-16
17,104.18.199.131:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,104.18.199.131:443#越南-17
18,162.159.133.241:443,越南,VN,HK,VN,HK,True,True,True,youtube_ping0_ping0_mismatch_v1,accepted,VN,HK,HK,HK,geo_only,,越南,香港,,,youtube+ping0,False,youtube:VN;ping0:HK,True,162.159.133.241:443#越南-18
